layer,vector_type,pc1,pc2
0,AI,-11.30218,-2.4828875
0,User,-11.300467,-2.483686
0,Joint,-11.300195,-2.4837198
0,Residue,-11.302183,-2.4832282
1,AI,-11.285531,-2.4804273
1,User,-11.027142,-2.2091596
1,Joint,-11.002943,-2.1802711
1,Residue,-11.294905,-2.4567654
2,AI,-11.264296,-2.472448
2,User,-10.758067,-2.0254858
2,Joint,-10.708723,-1.9692757
2,Residue,-11.290996,-2.4374232
3,AI,-11.235827,-2.4652352
3,User,-10.477785,-1.8533223
3,Joint,-10.4055395,-1.7843478
3,Residue,-11.296564,-2.4318728
4,AI,-11.199896,-2.4568903
4,User,-10.2194605,-1.525631
4,Joint,-10.109248,-1.4240912
4,Residue,-11.294531,-2.407652
5,AI,-11.128865,-2.4321816
5,User,-9.825638,-1.1790911
5,Joint,-9.632994,-1.0346447
5,Residue,-11.283128,-2.3894536
6,AI,-11.103419,-2.4165618
6,User,-9.611743,-1.0477527
6,Joint,-9.389758,-0.8784077
6,Residue,-11.279234,-2.3801756
7,AI,-11.01797,-2.3572903
7,User,-9.089291,-0.51310825
7,Joint,-8.780753,-0.27348933
7,Residue,-11.2781315,-2.3691735
8,AI,-10.9140835,-2.298857
8,User,-8.171481,0.18350008
8,Joint,-7.7399125,0.50171506
8,Residue,-11.258982,-2.3490102
9,AI,-10.798399,-2.2188945
9,User,-7.5303864,0.49411765
9,Joint,-7.0021615,0.8798772
9,Residue,-11.278015,-2.3614278
10,AI,-10.72726,-2.1768687
10,User,-6.930959,0.9347649
10,Joint,-6.3237977,1.3949519
10,Residue,-11.270212,-2.3290253
11,AI,-10.619091,-2.161603
11,User,-6.344024,1.1103193
11,Joint,-5.6622496,1.5924122
11,Residue,-11.30377,-2.3223863
12,AI,-10.582852,-2.110968
12,User,-6.0388937,1.3345089
12,Joint,-5.301813,1.8842071
12,Residue,-11.284705,-2.305416
13,AI,-10.503687,-2.0588396
13,User,-5.7991977,1.4982134
13,Joint,-4.964912,2.1160672
13,Residue,-11.266662,-2.2893882
14,AI,-10.426035,-1.9995272
14,User,-5.424205,1.7863795
14,Joint,-4.444331,2.5174067
14,Residue,-11.198729,-2.2355282
15,AI,-10.389881,-2.030212
15,User,-4.096723,2.219949
15,Joint,-3.2990696,2.776385
15,Residue,-11.417105,-2.3794334
16,AI,-10.148961,-1.8508788
16,User,-2.72809,3.258815
16,Joint,-1.8528948,3.8721929
16,Residue,-11.580481,-2.5018268
17,AI,-10.126253,-1.842837
17,User,-2.3197434,3.4941041
17,Joint,-1.3137414,4.165703
17,Residue,-11.472382,-2.4516475
18,AI,-9.933539,-1.7416055
18,User,-1.1605518,4.3468847
18,Joint,0.065046996,5.094183
18,Residue,-11.4455,-2.477179
19,AI,-9.528611,-1.5864714
19,User,1.3709764,5.834992
19,Joint,2.9576073,6.6466093
19,Residue,-11.489392,-2.5679936
20,AI,-8.922184,-1.2791414
20,User,9.906673,9.584798
20,Joint,11.5199175,10.391086
20,Residue,-12.069209,-2.880651
21,AI,-8.285907,-1.0226874
21,User,16.590988,12.827054
21,Joint,18.765789,13.727509
21,Residue,-12.143925,-3.0429401
22,AI,-7.7398434,-0.9805863
22,User,23.298683,15.533417
22,Joint,26.014109,16.2618
22,Residue,-12.14937,-3.2571092
23,AI,-7.12416,-0.8979873
23,User,32.153355,18.514263
23,Joint,35.535965,19.241295
23,Residue,-12.097853,-3.3410604
24,AI,-5.8339176,-0.46820018
24,User,44.447693,21.860914
24,Joint,48.845116,22.683372
24,Residue,-12.373298,-3.6754198
25,AI,-4.5175576,-0.097509444
25,User,56.116028,24.166092
25,Joint,62.226234,25.281216
25,Residue,-11.976868,-3.7534397
26,AI,-3.294019,0.09780231
26,User,67.816574,23.50809
26,Joint,75.55698,24.78429
26,Residue,-11.570209,-3.787683
27,AI,-1.5025907,-0.31688663
27,User,79.697815,14.099492
27,Joint,89.83922,14.960558
27,Residue,-10.960617,-3.7881272
28,AI,-3.0817554,-7.9828787
28,User,77.95483,-89.63888
28,Joint,85.67625,-96.73642
28,Residue,-11.801451,-4.0807285
